case,entries,time(s),memory(kb)
best_case,10000,0.000099,0
best_case,100000,0.000922,0
best_case,1000000,0.009541,12812
best_case,10000000,0.091571,83976
best_case,100000000,0.870850,795720
best_case,1000000000,8.675113,7914992
random_case,10000,1.171528,4776
random_case,100000,116.231240,5144
random_case,1000000,11692.446748,8840
worst_case,10000,1.415715,4768
worst_case,100000,140.555542,5700
worst_case,1000000,14167.079797,12552
